id,componentId,componentType,currentStatus,lastCompletedProcess,nextProcess,processStatus,percentComplete,completedAt,designUrl,workstation,teamLead,dateshipped,datedelivered,componentsqft,projectId,Level,createdAt,maxHeight,maxWidth,sequence,updatedAt,weight
bb9f405f-c4f4-4d18-ad08-96c825caeeed, W-0:39,Interior Wall ,Delivered,Ship,,Complete,100,3/10/25,,,Andres,3/19/25,3/19/25,44,TEK-028-CHAROUHIS,,22:03.7,,,,7/16/25 00:00,
7942b4f5-801d-4e7b-b7c3-6735138bd11f,F- 6B,Floor Panel,Delivered,Ship,,Complete,100,6/27/24,,,,8/8/24,8/8/24,91,TEK-004-BURGHER325HLND,,22:03.7,,,,7/16/25 00:00,
69a9895b-766e-422c-a025-9c90a337b06d,F-1,Floor Panel,Delivered,Ship,,Complete,100,6/20/24,,,,8/8/24,8/8/24,87,TEK-004-BURGHER325HLND,,22:03.7,,,,7/16/25 00:00,
4c005536-7fd7-46af-93ce-749fd86b93de,F-1,Floor Panel,Delivered,Ship,,Complete,100,12/5/24,,,,5/5/25,5/5/25,299,TEK-015-ASPENGLENSD-2,,22:03.7,,,,7/16/25 00:00,
f4c79c15-d7fe-4d87-ba91-c13abc05f348,F-1,Floor Panel,Delivered,Ship,,Complete,100,10/9/24,,,,2/5/25,2/5/25,300,TEK-018-ASPENGLENSD-5,,22:03.7,,,,7/16/25 00:00,
8c88b7b5-b1a9-49b3-a7b9-9878d1d1d814,F-1,Floor Panel,Delivered,Ship,,Complete,100,8/16/24,,,,10/31/24,10/31/24,228,TEK-019-ASPENGLENSD-6,,22:03.7,,,,7/16/25 00:00,
f1d37bd0-c1a1-4637-a0a5-81044e29a817,F-1 ,Floor Panel,Delivered,Ship,,Complete,100,3/14/25,,,Andres,3/28/25,3/28/25,30,TEK-028-CHAROUHIS,,22:03.7,,,,7/16/25 00:00,
d3576890-1f1e-4459-bfef-69f6751eba96,F-10,Floor Panel,Delivered,Ship,,Complete,100,6/25/24,,,,8/8/24,8/8/24,360,TEK-004-BURGHER325HLND,,22:03.7,,,,7/16/25 00:00,
a00add41-0615-4f0b-9df4-030067a8a708,F-10,Floor Panel,Delivered,Ship,,Complete,100,12/3/24,,,,5/5/25,5/5/25,216,TEK-015-ASPENGLENSD-2,,22:03.7,,,,7/16/25 00:00,
604634a3-6446-4abf-a750-3d0658e30869,F-10,Floor Panel,Delivered,Ship,,Complete,100,10/14/24,,,,2/5/25,2/5/25,371,TEK-018-ASPENGLENSD-5,,22:03.7,,,,7/16/25 00:00,
