componentId,warehouse,workstation,teamLead,process,duration,createAt,status,updatedAt,,
W-0.34,Grand Junction,,Joel,Ship,120,2025-03-06,complete,2025-03-06,,45722
W-0.36,Grand Junction,,Adan,Ship,30,2025-03-07,complete,2025-03-07,,
W-0.34A,Grand Junction,,Joel,Ship,150,2025-03-07,complete,2025-03-07,,
W-0.38,Grand Junction,,Manuel,Ship,20,2025-03-10,complete,2025-03-10,,
W-0.37,Grand Junction,,Adan,Ship,42,2025-03-10,complete,2025-03-10,,
 W-0:39,Grand Junction,,Andres,Ship,37,2025-03-10,complete,2025-03-10,,
W-0:40,Grand Junction,,Andres,Ship,18,2025-03-10,complete,2025-03-10,,
W- 0:41,Grand Junction,,Andres,Ship,42,2025-03-10,complete,2025-03-10,,
W.035,Grand Junction,,Joel,Ship,90,2025-03-10,complete,2025-03-10,,
W-0.43,Grand Junction,,Joel,Ship,20,2025-03-10,complete,2025-03-10,,
W-0.42,Grand Junction,,Joel,Ship,20,2025-03-10,complete,2025-03-10,,
W-0.44,Grand Junction,,Joel,Ship,60,2025-03-10,complete,2025-03-10,,
W-0:47,Grand Junction,,Andres,Ship,35,2025-03-10,complete,2025-03-10,,
W-0.45,Grand Junction,,Josh,Ship,50,2025-03-10,complete,2025-03-10,,
W-0.51,Grand Junction,,Joel,Ship,25,2025-03-10,complete,2025-03-10,,
W-0.49,Grand Junction,,Josh,Ship,25,2025-03-10,complete,2025-03-10,,
W- 0.48,Grand Junction,,Andres,Ship,40,2025-03-10,complete,2025-03-10,,
W-0.55,Grand Junction,,Joel,Ship,5,2025-03-10,complete,2025-03-10,,
W-0.52,Grand Junction,,Joel,Ship,132,2025-03-11,complete,2025-03-11,,
W-0.50,Grand Junction,,Josh,Ship,120,2025-03-11,complete,2025-03-11,,
W-0.53,Grand Junction,,Andres,Ship,90,2025-03-11,complete,2025-03-11,,
W-0.56,Grand Junction,,Adan,Ship,35,2025-03-11,complete,2025-03-11,,
W-0.33,Grand Junction,,Josh,Ship,90,2025-03-11,complete,2025-03-11,,
W-0.56a,Grand Junction,,Adan,Ship,35,2025-03-11,complete,2025-03-11,,
W-0.54,Grand Junction,,Joel,Ship,26,2025-03-11,complete,2025-03-11,,
W-0.58,Grand Junction,,Adan,Ship,22,2025-03-11,complete,2025-03-11,,
W-0.59,Grand Junction,,Adan,Ship,65,2025-03-11,complete,2025-03-11,,
W-.30-.30a-.30b,Grand Junction,,Josh,Ship,170,2025-03-11,complete,2025-03-11,,
W-0.59a,Grand Junction,,Adan,Ship,15,2025-03-11,complete,2025-03-11,,
W-0.24,Grand Junction,,Adan,Ship,3,2025-03-11,complete,2025-03-11,,
W-0.31,Grand Junction,,Adan,Ship,70,2025-03-11,complete,2025-03-11,,
W-0.32 A,Grand Junction,,Joel,Ship,120,2025-03-11,complete,2025-03-11,,
W-0.23,Grand Junction,,Adan,Ship,23,2025-03-12,complete,2025-03-12,,
W-0.29,Grand Junction,,Josh,Ship,70,2025-03-12,complete,2025-03-12,,
W0.25,Grand Junction,,Manuel,Ship,30,2025-03-12,complete,2025-03-12,,
W-0.26,Grand Junction,,Manuel,Ship,5,2025-03-12,complete,2025-03-12,,
W-0.20,Grand Junction,,Joel,Ship,60,2025-03-12,complete,2025-03-12,,
W-0.22-0.22a,Grand Junction,,Adan,Ship,95,2025-03-12,complete,2025-03-12,,
W-0.60,Grand Junction,,Joel,Ship,46,2025-03-12,complete,2025-03-12,,
W-0.28,Grand Junction,,Josh,Ship,20,2025-03-12,complete,2025-03-12,,
W-21,Grand Junction,,Adan,Ship,40,2025-03-12,complete,2025-03-12,,
W-0.15,Grand Junction,,Josh,Ship,18,2025-03-12,complete,2025-03-12,,
W-0.13,Grand Junction,,Josh,Ship,15,2025-03-12,complete,2025-03-12,,
W-0.19,Grand Junction,,Joel,Ship,100,2025-03-12,complete,2025-03-12,,
W-0.19a,Grand Junction,,Joel,Ship,40,2025-03-12,complete,2025-03-12,,
W-0.27,Grand Junction,,Manuel,Ship,10,2025-03-12,complete,2025-03-12,,
W-0.14,Grand Junction,,Josh,Ship,33,2025-03-12,complete,2025-03-12,,
W-0.18,Grand Junction,,Adan,Ship,22,2025-03-12,complete,2025-03-12,,
W-0.15A,Grand Junction,,Adan,Ship,15,2025-03-12,complete,2025-03-12,,
W-0.17,Grand Junction,,Adan,Ship,29,2025-03-12,complete,2025-03-12,,
W-0.12,Grand Junction,,Josh,Ship,7,2025-03-12,complete,2025-03-12,,
W-0.11,Grand Junction,,Josh,Ship,35,2025-03-12,complete,2025-03-12,,
W-0.16,Grand Junction,,Adan,Ship,26,2025-03-12,complete,2025-03-12,,
W-0.10,Grand Junction,,Josh,Ship,170,2025-03-12,complete,2025-03-12,,
W-0.7,Grand Junction,,Adan,Ship,43,2025-03-12,complete,2025-03-12,,
W-0.9,Grand Junction,,Joel,Ship,40,2025-03-12,complete,2025-03-12,,
W-0.8,Grand Junction,,Joel,Ship,7,2025-03-12,complete,2025-03-12,,
W-0;6,Grand Junction,,Adan,Ship,30,2025-03-13,complete,2025-03-13,,
W-0.4,Grand Junction,,Adan,Ship,13,2025-03-13,complete,2025-03-13,,
W-0.3,Grand Junction,,Adrian,Ship,45,2025-03-13,complete,2025-03-13,,
W-0.2,Grand Junction,,Adrian,Ship,60,2025-03-13,complete,2025-03-13,,
W-0.5.5A,Grand Junction,,Joel,Ship,153,2025-03-13,complete,2025-03-13,,
F-2,Grand Junction,,Andres,Ship,195,2025-03-14,complete,2025-03-14,,
F-3,Grand Junction,,Adrian,Ship,150,2025-03-14,complete,2025-03-14,,
F-1 ,Grand Junction,,Andres,Ship,60,2025-03-14,complete,2025-03-14,,
F-9,Grand Junction,,Andres,Ship,180,2025-03-17,complete,2025-03-17,,
F-5,Grand Junction,,Adrian,Ship,240,2025-03-17,complete,2025-03-17,,
F-8,Grand Junction,,Andres,Ship,85,2025-03-17,complete,2025-03-17,,
F-7,Grand Junction,,Adrian,Ship,240,2025-03-17,complete,2025-03-17,,
F-6,Grand Junction,,Andres,Ship,160,2025-03-17,complete,2025-03-17,,
F-12,Grand Junction,,Adrian,Ship,300,2025-03-19,complete,2025-03-19,,
F-4,Grand Junction,,Adrian,Ship,120,2025-03-19,complete,2025-03-19,,
F-11,Grand Junction,,Andres,Ship,180,2025-03-19,complete,2025-03-19,,
F-14,Grand Junction,,Andres,Ship,135,2025-03-20,complete,2025-03-20,,
F-13,Grand Junction,,Adrian,Ship,180,2025-03-20,complete,2025-03-20,,
F-18B,Grand Junction,,Adrian,Ship,75,2025-03-21,complete,2025-03-21,,
F-17,Grand Junction,,Adrian,Ship,150,2025-03-21,complete,2025-03-21,,
F-19,Grand Junction,,Andres,Ship,130,2025-03-24,complete,2025-03-24,,
F-20,Grand Junction,,Andres,Ship,133,2025-03-25,complete,2025-03-25,,
F-21,Grand Junction,,Adrian,Ship,60,2025-03-25,complete,2025-03-25,,
F-21A,Grand Junction,,Andres,Ship,150,2025-03-25,complete,2025-03-25,,
F-22,Grand Junction,,Adrian,Ship,155,2025-03-25,complete,2025-03-25,,
W-1.11A,Grand Junction,,Manuel,Ship,10,2025-04-07,complete,2025-04-07,,
W-1.13,Grand Junction,,Andres,Ship,15,2025-04-07,complete,2025-04-07,,
W-1.14,Grand Junction,,Andres,Ship,26,2025-04-07,complete,2025-04-07,,
W-1.1,Grand Junction,,Adrian,Ship,210,2025-04-07,complete,2025-04-07,,
W-1.11,Grand Junction,,Adrian,Ship,90,2025-04-07,complete,2025-04-07,,
W-1.12,Grand Junction,,Adrian,Ship,45,2025-04-07,complete,2025-04-07,,
