componentId,componentType,currentStatus,lastCompletedProcess,nextProcess,processStatus,percentComplete,totalCycleTime,completedAt,designUrl,workstation,teamLead,dateshipped,datedelivered,componentsqft,projectId
W-1.44,Exterior Wall,DELIVERED,,Ship,Complete,100,,,,,,5/1/25 00:00,5/1/25 00:00,133,TEK-028-CHAROUHIS
W-50A,Exterior Wall,DELIVERED,,Ship,Complete,100,,,,,,5/7/25 00:00,5/7/25 00:00,75,TEK-015-ASPENGLENSD-2
W-1.13,Interior Wall ,DELIVERED,,Ship,Complete,100,,,,,,4/25/25 00:00,4/25/25 00:00,22,TEK-028-CHAROUHIS
W-34,Interior Wall ,DELIVERED,,Ship,Complete,100,,,,,,2/12/25 00:00,2/12/25 00:00,60,TEK-018-ASPENGLENSD-5
W-87,Interior Wall ,DELIVERED,,Ship,Complete,100,,,,,,5/7/25 00:00,5/7/25 00:00,108,TEK-015-ASPENGLENSD-2
W-0.44,Interior Wall ,DELIVERED,,Ship,Complete,100,,,,,,3/19/25 00:00,3/19/25 00:00,90,TEK-028-CHAROUHIS
W-1.46,Interior Wall ,DELIVERED,,Ship,Complete,100,,,,,,5/1/25 00:00,5/1/25 00:00,88,TEK-028-CHAROUHIS
F-16,Floor Panel,DELIVERED,,Ship,Complete,100,,,,,,10/28/24 00:00,10/28/24 00:00,222,TEK-019-ASPENGLENSD-6
W-1.52,Interior Wall ,DELIVERED,,Ship,Complete,100,,,,,,5/1/25 00:00,5/1/25 00:00,36,TEK-028-CHAROUHIS
F-5,Floor Panel,DELIVERED,,Ship,Complete,100,,,,,,8/8/24 00:00,8/8/24 00:00,276,TEK-004-BURGHER325HLND
W-45,Exterior Wall,DELIVERED,,Ship,Complete,100,,,,,,8/28/24 00:00,8/28/24 00:00,155,TEK-004-BURGHER325HLND
F-13,Floor Panel,DELIVERED,,Ship,Complete,100,,,,,,5/5/25 00:00,5/5/25 00:00,40,TEK-015-ASPENGLENSD-2
W-0:40,Interior Wall ,DELIVERED,,Ship,Complete,100,,,,,,3/19/25 00:00,3/19/25 00:00,33,TEK-028-CHAROUHIS
F-29,Floor Panel,DELIVERED,,Ship,Complete,100,,,,,,5/29/25 00:00,5/29/25 00:00,160,TEK-028-CHAROUHIS
W-23,Interior Wall ,DELIVERED,,Ship,Complete,100,,,,,,2/12/25 00:00,2/12/25 00:00,30,TEK-018-ASPENGLENSD-5
F-15,Floor Panel,DELIVERED,,Ship,Complete,100,,,,,,8/8/24 00:00,8/8/24 00:00,122,TEK-004-BURGHER325HLND
F-4,Floor Panel,DELIVERED,,Ship,Complete,100,,,,,,8/8/24 00:00,8/8/24 00:00,253,TEK-004-BURGHER325HLND
F-31,Floor Panel,DELIVERED,,Ship,Complete,100,,,,,,5/29/25 00:00,5/29/25 00:00,258,TEK-028-CHAROUHIS
W-60,Interior Wall ,DELIVERED,,Ship,Complete,100,,,,,,11/4/24 00:00,11/4/24 00:00,35,TEK-019-ASPENGLENSD-6
F-7,Floor Panel,DELIVERED,,Ship,Complete,100,,,,,,5/5/25 00:00,5/5/25 00:00,187,TEK-015-ASPENGLENSD-2
W-45,Interior Wall ,DELIVERED,,Ship,Complete,100,,,,,,5/7/25 00:00,5/7/25 00:00,18,TEK-015-ASPENGLENSD-2
W-58,Exterior Wall,DELIVERED,,Ship,Complete,100,,,,,,2/12/25 00:00,2/12/25 00:00,180,TEK-018-ASPENGLENSD-5
F-26,Floor Panel,DELIVERED,,Ship,Complete,100,,,,,,5/29/25 00:00,5/29/25 00:00,158,TEK-028-CHAROUHIS
F-6,Floor Panel,DELIVERED,,Ship,Complete,100,,,,,,8/8/24 00:00,8/8/24 00:00,110,TEK-004-BURGHER325HLND
W-1.60,Interior Wall ,DELIVERED,,Ship,Complete,100,,,,,,5/1/25 00:00,5/1/25 00:00,35,TEK-028-CHAROUHIS
F-23,Floor Panel,DELIVERED,,Ship,Complete,100,,,,,,8/8/24 00:00,8/8/24 00:00,29,TEK-004-BURGHER325HLND
W-43A,Exterior Wall,DELIVERED,,Ship,Complete,100,,,,,,8/28/24 00:00,8/28/24 00:00,57,TEK-004-BURGHER325HLND
W-87,Interior Wall ,DELIVERED,,Ship,Complete,100,,,,,,11/4/24 00:00,11/4/24 00:00,145,TEK-019-ASPENGLENSD-6
W-24,Exterior Wall,DELIVERED,,Ship,Complete,100,,,,,,5/6/25 00:00,5/6/25 00:00,165,TEK-015-ASPENGLENSD-2
W-1.95,Interior Wall ,DELIVERED,,Ship,Complete,100,,,,,,5/14/25 00:00,5/14/25 00:00,21,TEK-028-CHAROUHIS
W-1.114,Interior Wall ,DELIVERED,,Ship,Complete,100,,,,,,5/14/25 00:00,5/14/25 00:00,12,TEK-028-CHAROUHIS
W-69B,Exterior Wall,DELIVERED,,Ship,Complete,100,,,,,,9/4/24 00:00,9/4/24 00:00,186,TEK-004-BURGHER325HLND
W-57,Exterior Wall,DELIVERED,,Ship,Complete,100,,,,,,5/7/25 00:00,5/7/25 00:00,216,TEK-015-ASPENGLENSD-2
W-39,Interior Wall ,DELIVERED,,Ship,Complete,100,,,,,,5/6/25 00:00,5/6/25 00:00,10,TEK-015-ASPENGLENSD-2
W-0.28,Interior Wall ,DELIVERED,,Ship,Complete,100,,,,,,3/19/25 00:00,3/19/25 00:00,25,TEK-028-CHAROUHIS
W-0;6,Interior Wall ,DELIVERED,,Ship,Complete,100,,,,,,3/19/25 00:00,3/19/25 00:00,50,TEK-028-CHAROUHIS
F-11A,Floor Panel,DELIVERED,,Ship,Complete,100,,,,,,10/28/24 00:00,10/28/24 00:00,126,TEK-019-ASPENGLENSD-6
